states,actions,states full,actions_num
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4045.5334245397553), np.float64(0.88611), np.float64(0.91735), np.float64(8800.0), np.float64(8800.0), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4117.786089496798), np.float64(0.8876), np.float64(0.93239), np.float64(8800.0), np.float64(8800.0), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4160.997890866886), np.float64(0.6552), np.float64(0.92468), np.float64(8800.0), np.float64(8800.0), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4054.93845783101), np.float64(1.2432), np.float64(0.58846), np.float64(8800.0), np.float64(8800.0), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4054.93845783101), np.float64(0.98141), np.float64(0.58228), np.float64(8800.0), np.float64(8800.0), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4054.93845783101), np.float64(0.96475), np.float64(0.57771), np.float64(8800.0), np.float64(8800.0), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4054.93845783101), np.float64(0.9698), np.float64(0.58202), np.float64(8800.0), np.float64(8800.0), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4076.242324397154), np.float64(0.96863), np.float64(0.57671), np.float64(8800.0), np.float64(8800.0), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4122.010631869249), np.float64(0.96834), np.float64(0.57644), np.float64(8800.0), np.float64(8800.0), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4167.09911428779), np.float64(0.96267), np.float64(0.57639), np.float64(8800.0), np.float64(8800.0), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4142.673977183505), np.float64(0.97509), np.float64(0.58735), np.float64(8800.0), np.float64(8800.0), np.float64(7803.7), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4118.117974644513), np.float64(0.97539), np.float64(0.58748), np.float64(8800.0), np.float64(8800.0), np.float64(8117.2), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4203.165511172198), np.float64(0.97575), np.float64(0.58745), np.float64(8800.0), np.float64(8800.0), np.float64(8117.2), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4278.272872493228), np.float64(0.98784), np.float64(0.60537), np.float64(8800.0), np.float64(8800.0), np.float64(8117.2), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4354.309971898359), np.float64(0.7461), np.float64(0.50054), np.float64(8800.0), np.float64(8800.0), np.float64(8117.2), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4354.3099718983585), np.float64(-0.79407), np.float64(0.4849), np.float64(8800.0), np.float64(8800.0), np.float64(8117.2), np.float64(-104.87838399681277), 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4354.309971898359), np.float64(-0.98838), np.float64(0.45349), np.float64(8800.0), np.float64(8800.0), np.float64(8117.2), np.float64(-222.99432858452565), 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4333.551914904153), np.float64(-0.093163), np.float64(0.57744), np.float64(8800.0), np.float64(8800.0), np.float64(8117.2), np.float64(-358.00472410266957), 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4307.136362241689), np.float64(0.058193), np.float64(0.60177), np.float64(8800.0), np.float64(8800.0), np.float64(8117.2), np.float64(-317.4283165882298), 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4307.136362241689), np.float64(0.083947), np.float64(0.60127), np.float64(8800.0), np.float64(8800.0), np.float64(8117.2), np.float64(-284.89653523280504), 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4334.353634726659), np.float64(0.092201), np.float64(0.60129), np.float64(8800.0), np.float64(8800.0), np.float64(8117.2), np.float64(-313.5237020814184), 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4374.290487405619), np.float64(0.097061), np.float64(0.60187), np.float64(8800.0), np.float64(8800.0), np.float64(8117.2), np.float64(-343.5697495295335), 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4416.084484613449), np.float64(0.090836), np.float64(0.60914), np.float64(8800.0), np.float64(8800.0), np.float64(8117.2), np.float64(-324.17708984946694), 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4345.5823211754), np.float64(0.091845), np.float64(0.60888), np.float64(8800.0), np.float64(8800.0), np.float64(8800.0), np.float64(-300.1042780827047), 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4367.443690957009), np.float64(0.093142), np.float64(0.60849), np.float64(8800.0), np.float64(8800.0), np.float64(8800.0), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4373.286704614392), np.float64(0.05724), np.float64(0.62064), np.float64(8800.0), np.float64(8800.0), np.float64(8800.0), np.float64(-37.174650831297186), 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4338.736461404434), np.float64(-0.088359), np.float64(0.27226), np.float64(8800.0), np.float64(8800.0), np.float64(8800.0), np.float64(-8.43208541707645), 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4293.82374673167), np.float64(1.229), np.float64(0.90126), np.float64(8800.0), np.float64(8800.0), np.float64(8800.0), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4292.725971299316), np.float64(1.3715), np.float64(0.85851), np.float64(8800.0), np.float64(8800.0), np.float64(8800.0), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4321.873579396865), np.float64(1.2675), np.float64(0.91212), np.float64(8800.0), np.float64(8800.0), np.float64(8800.0), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
1186,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']","[np.float64(4321.873579396865), np.float64(1.2769), np.float64(0.95994), np.float64(8800.0), np.float64(8800.0), np.float64(8800.0), 0, 0, 0, np.float64(140.0), np.float64(0.0), np.float64(0.0), 0, 0, 1]",0
